filmtv_id;directors;genre;year;nb_comedy_real;nb_drama_real
378;Dino Risi;1;1960;10;0
380;Stan Dragoti;0;1979;0;0
383;Romano Scavolini;1;1969;0;1
384;Jack Bender;0;1992;0;0
386;Dorian Walker;0;1989;1;0
387;Volker SchlÃ¶ndorff;1;1983;0;3
388;Alberto Bonucci;0;1962;0;0
388;Luciano Lucignani;0;1962;0;0
388;Sergio Sollima;0;1962;0;0
388;Nino Manfredi;0;1962;0;0
389;Alessandro Blasetti;0;1957;8;5
391;Angelo Dorigo;0;1958;0;0
395;Gianni Puccini;0;1964;7;0
398;Salvatore Samperi;0;1980;5;6
399;Jacques Romain;0;1964;0;0
399;Massimo Mida;0;1964;0;0
399;Gianni Puccini;0;1964;7;0
399;Mino Guerrini;0;1964;0;0
402;Alberto Sordi;0;1970;3;0
404;Rod Holcomb;1;1992;1;0
407;Alan Rudolph;0;1990;1;2
409;Luigi Scattini;0;1966;1;0
414;Michael Curtiz;0;1948;0;6
422;Mario Costa;1;1954;0;2
423;Glauco Pellegrini;0;1954;0;0
423;Antonio Pietrangeli;0;1954;0;1
423;Mario Chiari;0;1954;0;0
423;Pietro Germi;0;1954;1;5
423;Roberto Rossellini;0;1954;1;8
424;Giuseppe Bertolucci;0;1989;2;4
425;Steno;0;1978;50;1
428;Vincent McEveety;1;1981;7;0
429;Anatole Litvak;0;1956;0;5
430;Otto Preminger;1;1959;4;6
431;Luciano Salce;0;1975;19;0
432;E.B. Clucher (Enzo Barboni);0;1973;0;0
434;Flavio Mogherini;0;1972;0;0
436;Robert Greenwald;0;1988;0;1
437;Stanley Donen;0;1960;5;0
439;Andrei Tarkovsky;1;1969;0;3
440;Nelo Risi;1;1966;0;0
449;Anna Brasi;0;1988;0;0
450;Frank Capra;0;1961;13;2
451;Richard Rush;1;1967;0;0
452;Richard T. Heffron;1;1988;0;1
458;Rodrigo Castano;1;1986;0;0
461;Josef Von Sternberg;1;1930;0;2
462;Raffaello Matarazzo;1;1955;7;8
484;Carlo Ludovico Bragaglia;0;1939;1;0
485;Edward Dmytryk;1;1946;0;5
486;Arthur Hiller;0;1984;11;2
490;Edward Dmytryk;1;1962;0;8
493;Arthur Penn;1;1962;0;0
494;John Cromwell;1;1946;3;7
495;Julien Duvivier;1;1947;0;5
496;Clarence Brown;1;1935;1;3
498;John Boorman;1;1987;1;1
499;Margarethe Von Trotta;1;1981;0;2
500;Luigi Zampa;0;1953;4;3
501;FranÃ§ois Truffaut;0;1976;4;6
502;Alain Tanner;1;1981;0;2
505;Luigi Zampa;0;1962;13;5
512;Alain Resnais;1;1961;0;1
513;Peter Weir;1;1982;2;2
519;Michael Radford;1;1983;0;0
526;Carlo Ludovico Bragaglia;0;1930;0;0
529;Giorgio Ferroni;0;1975;1;1
536;Jean De Limur;0;1944;0;0
537;Frank Tashlin;0;1962;7;0
540;Giacomo Gentilomo;1;1954;4;1
541;Marco Tullio Giordana;1;1988;0;3
543;Blake Edwards;0;1987;23;2
548;Giuliano Biagetti;0;1977;1;0
552;Melville Shavelson;0;1968;2;0
554;Jean Cocteau;1;1948;0;1
562;Giorgio Capitani;0;1979;6;2
563;Giorgio Capitani;0;1969;0;2
571;Lewis Milestone;1;1948;1;1
575;John Cromwell;1;1934;0;1
578;Eugenio De Liguoro;0;1933;0;0
579;Silvio Soldini;0;1990;0;0
580;Euzhan Palcy;1;1989;0;0
581;Mel Stuart;1;1978;1;0
591;Luciano Tovoli;1;1983;0;0
594;Nando Cicero;0;1971;1;0
596;Mauro Bolognini;0;1959;6;0
600;Steno;0;1967;36;1
602;Frank Capra;0;1941;8;2
608;Luigi Magni;0;1980;6;2
610;Mario Costa;0;1957;0;5
611;Dick Maas;0;1986;0;0
612;Carlo Vanzina;0;1980;1;0
613;Nini Salerno;0;1983;0;0
614;Mario MattÃ²li;0;1951;22;7
619;Louis Malle;1;1987;4;9
624;Frank Capra;0;1944;9;2
627;Steve Gordon;0;1981;0;0
630;Joe May;1;1929;0;0
633;Filippo Ottoni;0;1986;0;0
634;Dominique Deruddere;0;1989;0;1
651;Robert Aldrich;1;1968;0;6
653;Beau Bridges;1;1994;0;0
661;Robert Day;0;1956;0;0
661;Basil Dearden;0;1956;0;0
673;Nando Cicero;0;1981;10;0
674;Castellano & Pipolo;0;1981;6;0
675;Billy Wilder;1;1951;4;2
676;Ronald Neame;0;1952;0;0
677;Ulu Grosbard;1;1981;0;3
690;Hal Walker;0;1951;2;0
692;Ron Howard;0;1977;0;0
693;Alberto Bevilacqua;1;1976;0;2
694;Michael Lindsay-Hogg;0;1990;0;0
695;Gianni Puccini;0;1962;5;0
698;Peter Weir;1;1989;2;3
699;Pasquale Squitieri;1;1990;1;8
702;Adrian Lyne;1;1987;0;2
706;Giorgio Simonelli;0;1951;4;1
707;Jean-Jacques Andrien;1;1989;0;0
708;Jerzy Skolimowski;1;1978;2;4
712;Mario Bonnard;0;1942;4;2
720;Tim Whelan;0;1938;0;0
724;Claude Lelouch;0;1972;2;3
736;Jerzy Skolimowski;0;1970;1;3
741;Blake Edwards;1;1957;0;0
742;David Lean;1;1948;2;1
748;James Parrott;0;1930;0;0
752;Raffaello Matarazzo;0;1941;4;0
756;Howard Hawks;1;1939;2;7
762;Jean Becker;0;1966;0;0
770;Elia Kazan;1;1956;0;9
773;Neal Israel;0;1984;0;0
774;Billy Wilder;0;1964;11;4
775;Mario Lanfranchi;1;1974;0;0
778;Hector Babenco;1;1985;0;0
785;William A. Seiter;0;1948;7;0
789;Rick Rosenthal;1;1983;0;0
793;Percy Adlon;0;1987;1;0
795;Daniel Petrie;1;1976;1;1
796;Anthony Mann;1;1953;0;2
798;Lindsay Anderson;0;1987;1;3
799;Howard Hawks;0;1941;3;8
803;Mike Newell;1;1985;0;0
804;John G. Avildsen;1;1978;2;2
805;Fabrizio Taglioni;0;1963;0;0
812;Hugo Fregonese;1;1952;0;0
813;Mel Brooks;0;1987;7;0
817;Vittorio De Sica;1;1944;3;0
818;George Stanford Brown;0;1987;0;0
820;Michael Ritchie;0;1986;5;2
823;Franco Giraldi;0;1968;0;0
824;Steno;0;1982;58;1
825;Francesco Massaro;0;1976;1;0
826;Marco Ferreri;0;1989;7;7
830;Geoff Murphy;0;1981;0;0
831;Raoul Walsh;1;1957;3;5
832;Camillo Mastrocinque;0;1956;8;1
838;Martin Davidson;0;1984;0;0
